CustomerID,LastPurchaseDate,Recency,Frequency,Monetary,Recency_scaled,Frequency_scaled,Monetary_scaled,RFM_Score,CustomerCategory,Cluster_ID
12346,18/01/2011,-48,1,77183.6,0.128686327,0,0.275443343,0.40412967,Low,2
12347,07/12/2011,-371,182,4310,0.99463807,0.02306908,0.015368362,1.033075512,High,0
12348,25/09/2011,-298,31,1797.24,0.798927614,0.003823604,0.006400698,0.809151916,Medium,0
12349,21/11/2011,-355,73,1757.55,0.951742627,0.009176651,0.00625905,0.967178328,High,0
12350,02/02/2011,-63,17,334.4,0.168900804,0.002039256,0.00118004,0.1721201,Low,2
12352,03/11/2011,-337,85,2506.04,0.903485255,0.010706092,0.008930299,0.923121646,Medium,0
12353,19/05/2011,-169,4,89,0.45308311,0.00038236,0.000304245,0.453769715,Low,1
12354,21/04/2011,-141,58,1079.4,0.378016086,0.007264848,0.003838834,0.389119768,Low,2
12355,09/05/2011,-159,13,459.4,0.426273458,0.001529442,0.001626147,0.429429047,Low,1
12356,17/11/2011,-351,59,2811.43,0.941018767,0.007392302,0.01002019,0.958431259,High,0
12357,06/11/2011,-340,131,6207.67,0.91152815,0.016568952,0.022140863,0.950237965,High,0
12358,08/12/2011,-372,19,1168.06,0.997319035,0.002294163,0.004155248,1.003768446,High,0
12359,13/10/2011,-316,248,6372.58,0.847184987,0.031481009,0.022729402,0.901395398,Medium,0
12360,18/10/2011,-321,129,2662.06,0.860589812,0.016314045,0.009487111,0.886390969,Medium,0
12361,25/02/2011,-86,10,189.9,0.230563003,0.001147081,0.000664342,0.232374426,Low,2
12362,06/12/2011,-370,266,5226.23,0.991957105,0.033775172,0.01863825,1.044370527,High,0
12363,22/08/2011,-264,23,552,0.707774799,0.002803977,0.001956622,0.712535398,Low,1
12364,02/12/2011,-366,85,1313.1,0.981233244,0.010706092,0.004672874,0.996612211,High,0
12365,21/02/2011,-82,22,641.38,0.219839142,0.002676523,0.002275606,0.224791271,Low,2
12367,05/12/2011,-369,11,168.9,0.989276139,0.001274535,0.000589396,0.99114007,High,0
12370,19/10/2011,-322,167,3545.69,0.863270777,0.021157278,0.012640654,0.897068709,Medium,0
12371,26/10/2011,-329,63,1887.96,0.882037534,0.007902116,0.006724464,0.896664113,Medium,0
12372,29/09/2011,-302,52,1298.04,0.809651475,0.006500127,0.004619127,0.820770729,Medium,0
12373,01/02/2011,-62,14,364.6,0.166219839,0.001656895,0.00128782,0.169164554,Low,2
12374,14/11/2011,-348,33,742.93,0.932975871,0.004078511,0.002638023,0.939692406,Medium,0
12375,29/11/2011,-363,17,457.5,0.973190349,0.002039256,0.001619366,0.97684897,High,0
12377,28/01/2011,-58,77,1628.12,0.155495979,0.009686464,0.005797134,0.170979577,Low,2
12378,02/08/2011,-244,219,4008.62,0.654155496,0.027784859,0.014292782,0.696233137,Low,1
12379,19/09/2011,-292,40,852.24,0.782841823,0.004970686,0.003028134,0.790840643,Medium,0
12380,18/11/2011,-352,104,2724.81,0.943699732,0.013127708,0.009711056,0.966538497,High,0
12381,05/12/2011,-369,87,1845.31,0.989276139,0.010960999,0.006572252,1.006809391,High,0
12383,08/06/2011,-189,99,1850.56,0.506702413,0.012490441,0.006590989,0.525783843,Low,1
12384,11/11/2011,-345,27,585.27,0.924932976,0.00331379,0.002075358,0.930322124,Medium,0
12386,06/01/2011,-36,10,401.9,0.096514745,0.001147081,0.001420938,0.099082764,Low,2
12388,24/11/2011,-358,100,2780.66,0.959785523,0.012617894,0.009910377,0.982313794,High,0
12390,21/09/2011,-294,32,549.84,0.788203753,0.003951058,0.001948914,0.794103725,Medium,0
12391,18/11/2011,-352,100,460.89,0.943699732,0.012617894,0.001631464,0.957949091,High,0
12393,28/09/2011,-301,64,1582.6,0.806970509,0.008029569,0.00563468,0.820634758,Medium,0
12394,07/10/2011,-310,27,1272.48,0.831099196,0.00331379,0.004527908,0.838940894,Medium,0
